variant,N,M,mean_ms,std_ms
TILE=16,2000,10,3.3791872024536134,0.07203683730110047
TILE=32,2000,10,3.5009023904800416,0.11560457783878882
TILE=64,2000,10,3.406934404373169,0.12016199002052015
presort=ON,2000,10,3.4326080322265624,0.05729837331025472
presort=OFF,2000,10,4.8025599956512455,4.900471956320216
