N,M,cpu_dcns_ms,gpu_nds_ms,speedup
100,2,39.899730001343414,1.555942416191101,25.643449003091465
100,3,31.973690004087985,1.189609593153,26.877464832259246
100,5,24.741449998691678,1.1549056053161622,21.42291966096966
100,8,25.509849993977696,1.0777408063411713,23.66974493670815
100,10,25.475620001088828,1.1311232030391694,22.522409524125585
500,2,994.0329099947121,2.486358404159546,399.79469907948413
500,3,928.7328799953684,1.801417589187622,515.5566846742045
500,5,784.7004900046159,1.4747104048728943,532.1048033645965
500,8,769.1668099956587,1.3504831910133361,569.5493399058997
500,10,725.7088200072758,1.2990112066268922,558.6624782796944
1000,2,4203.12046999461,5.7155519962310795,735.3831218342884
1000,3,3538.515339989681,2.5356736183166504,1395.4932190124625
1000,5,3327.6902399898972,2.002611207962036,1661.675629677681
1000,8,3219.6933900006115,1.8579872012138368,1732.8932017923278
1000,10,3123.8920900097582,1.8369439840316772,1700.5919163378735
2000,2,16720.39938000962,10.544310474395752,1585.727148362235
2000,3,14407.817299995804,5.725529575347901,2516.416535866089
2000,5,13342.805940005928,3.5006047964096068,3811.5716329049683
2000,8,12431.937679991825,3.195516800880432,3890.4310177829652
2000,10,12060.778540011961,3.3366623640060427,3614.623604149035
5000,2,101579.59631000995,33.91191997528076,2995.3950228726017
5000,3,88514.41915999749,16.24265956878662,5449.50282219144
5000,5,82215.11042999336,10.058758354187011,8173.4849903985305
5000,8,78607.92017998756,8.76371202468872,8969.70598286856
5000,10,76298.4562799742,9.726956653594971,7844.02141360167
