pop_size,n_gen,M,n_var,problem,gpu_ms,cpp_full_ms,speedup
100,100,3,12,DTLZ2_M3,1096.5998000028776,41.431,0.037781330983182086
200,100,3,12,DTLZ2_M3,1167.5211000037962,95.981,0.0822092208866186
500,100,3,12,DTLZ2_M3,1713.634899999306,510.96,0.2981731989703331
1000,100,3,12,DTLZ2_M3,2373.604799999157,1835.8239999999998,0.7734328814976494
2000,50,3,12,DTLZ2_M3,1753.3341000016662,3664.1319999999996,2.0898082116788337
200,100,5,14,DTLZ2_M5,1410.2582999985316,133.273,0.09450254609395936
500,100,5,14,DTLZ2_M5,1763.3721999955014,655.904,0.37196004337693045
1000,50,5,14,DTLZ2_M5,1175.281999996514,1269.556,1.0802139401469313
