algorithm,N,M,mean_ms,std_ms
CPU-NSGA2,50,3,10.39550001733005,0.27044873685336285
CPU-DCNS,50,3,13.081420015078038,0.5473810610430206
CPU-BOS,50,3,2.3298000101931393,0.010979806051973646
GPU-NDS,50,3,1.6618175983428956,0.3048608918279063
